"Site","bracket","year","n_members","n_draws","P_exceed_naive","P_exceed_corrected","frac_temp_extrap"
"DL","high",2061,11,22000,0.545454545454545,0.744136363636364,0
"DL","high",2062,11,22000,0.545454545454545,0.726136363636364,0
"DL","high",2063,11,22000,0.545454545454545,0.719090909090909,0
"DL","high",2064,11,22000,0.545454545454545,0.722636363636364,0
"DL","high",2065,11,22000,0.545454545454545,0.718454545454545,0
"DL","high",2066,11,22000,0.636363636363636,0.721409090909091,0
"DL","high",2067,11,22000,0.636363636363636,0.715909090909091,0
"DL","high",2068,11,22000,0.545454545454545,0.700363636363636,0
"DL","high",2069,11,22000,0.636363636363636,0.694136363636364,0
"DL","high",2070,11,22000,0.545454545454545,0.708909090909091,0
"DL","high",2071,11,22000,0.545454545454545,0.722636363636364,0
"DL","high",2072,11,22000,0.545454545454545,0.708863636363636,0
"DL","high",2073,11,22000,0.545454545454545,0.720863636363636,0
"DL","high",2074,11,22000,0.545454545454545,0.735818181818182,0
"DL","high",2075,11,22000,0.636363636363636,0.744227272727273,0
"DL","high",2076,11,22000,0.636363636363636,0.746818181818182,0
"DL","high",2077,11,22000,0.636363636363636,0.760363636363636,0
"DL","high",2078,11,22000,0.818181818181818,0.766045454545455,0
"DL","high",2079,11,22000,0.818181818181818,0.7755,0
"DL","high",2080,11,22000,0.818181818181818,0.776454545454546,0
"DL","high",2081,11,22000,0.909090909090909,0.776818181818182,0
"DL","high",2082,11,22000,0.909090909090909,0.774272727272727,0
"DL","high",2083,11,22000,0.909090909090909,0.780636363636364,0
"DL","high",2084,11,22000,0.909090909090909,0.794727272727273,0
"DL","high",2085,11,22000,0.909090909090909,0.793863636363636,0
"DL","high",2086,11,22000,0.909090909090909,0.794181818181818,0
"DL","high",2087,11,22000,0.818181818181818,0.797727272727273,0
"DL","high",2088,11,22000,0.909090909090909,0.811772727272727,0
"DL","high",2089,11,22000,0.909090909090909,0.820363636363636,0
"DL","high",2090,11,22000,0.909090909090909,0.825363636363636,0
"DL","high",2091,11,22000,0.909090909090909,0.813318181818182,0
"DL","high",2092,11,22000,0.909090909090909,0.814545454545455,0
"DL","high",2093,11,22000,0.909090909090909,0.829954545454546,0
"DL","high",2094,11,22000,0.909090909090909,0.821909090909091,0
"DL","high",2095,11,22000,0.909090909090909,0.818090909090909,0
"DL","high",2096,11,22000,0.909090909090909,0.821590909090909,0
"DL","high",2097,11,22000,0.909090909090909,0.827363636363636,0
"DL","high",2098,11,22000,0.909090909090909,0.833681818181818,0
"DL","low",2026,10,20000,1,0.8878,0
"DL","low",2027,10,20000,1,0.8551,0
"DL","low",2028,10,20000,1,0.85375,0
"DL","low",2029,10,20000,1,0.84525,0
"DL","low",2030,10,20000,1,0.85385,0
"DL","low",2031,10,20000,1,0.8513,0
"DL","low",2032,10,20000,1,0.85225,0
"DL","low",2033,10,20000,1,0.8561,0
"DL","low",2034,10,20000,1,0.86135,0
"DL","low",2035,10,20000,1,0.8569,0
"DL","low",2036,10,20000,1,0.85135,0
"DL","low",2037,10,20000,1,0.86125,0
"DL","low",2038,10,20000,1,0.86435,0
"DL","low",2039,10,20000,1,0.86965,0
"DL","low",2040,10,20000,1,0.86595,0
"DL","low",2041,10,20000,1,0.85445,0
"DL","low",2042,10,20000,1,0.8684,0
"DL","low",2043,10,20000,1,0.86325,0
"DL","low",2044,10,20000,1,0.8572,0
"DL","low",2045,10,20000,1,0.866,0
"DL","low",2046,10,20000,1,0.8668,0
"DL","low",2047,10,20000,1,0.8671,0
"DL","low",2048,10,20000,1,0.85885,0
"DL","low",2049,10,20000,1,0.86065,0
"DL","low",2050,10,20000,1,0.87685,0
"DL","low",2051,10,20000,1,0.87765,0
"DL","low",2052,10,20000,1,0.8865,0
"DL","low",2053,10,20000,1,0.8966,0
"DL","low",2054,10,20000,1,0.889,0
"DL","low",2055,10,20000,1,0.8837,0
"DL","low",2056,10,20000,1,0.8914,0
"DL","low",2057,10,20000,1,0.88485,0
"DL","low",2058,10,20000,1,0.8796,0
"DL","low",2059,10,20000,1,0.88135,0
"DL","low",2060,10,20000,1,0.8809,0
"DL","low",2061,10,20000,1,0.87525,0
"DL","low",2062,10,20000,1,0.88015,0
"DL","low",2063,10,20000,1,0.87205,0
"DL","low",2064,10,20000,1,0.87055,0
"DL","low",2065,10,20000,1,0.8919,0
"DL","low",2066,10,20000,1,0.8781,0
"DL","low",2067,10,20000,1,0.8613,0
"DL","low",2068,10,20000,1,0.8591,0
"DL","low",2069,10,20000,1,0.8584,0
"DL","low",2070,10,20000,1,0.85835,0
"DL","low",2071,10,20000,1,0.83695,0
"DL","low",2072,10,20000,1,0.82855,0
"DL","low",2073,10,20000,1,0.82815,0
"DL","low",2074,10,20000,1,0.8172,0
"DL","low",2075,10,20000,0.9,0.80935,0
"DL","low",2076,10,20000,0.9,0.80995,0
"DL","low",2077,10,20000,1,0.8185,0
"DL","low",2078,10,20000,1,0.8131,0
"DL","low",2079,10,20000,1,0.8039,0
"DL","low",2080,10,20000,1,0.8153,0
"DL","low",2081,10,20000,1,0.80735,0
"DL","low",2082,10,20000,1,0.81705,0
"DL","low",2083,10,20000,1,0.8126,0
"DL","low",2084,10,20000,0.9,0.82435,0
"DL","low",2085,10,20000,1,0.8134,0
"DL","low",2086,10,20000,1,0.8087,0
"DL","low",2087,10,20000,1,0.80435,0
"DL","low",2088,10,20000,1,0.8171,0
"DL","low",2089,10,20000,1,0.8217,0
"DL","low",2090,10,20000,1,0.8266,0
