Site,Year,Month,date_yearmon,Date_sample,AFDM,CHLa,NH4_mg_L,NO3_mg_L,SPC,SRP_mg_L,TDS,TN_mg_L,TP_mg_L,Temp_oC,pH,TURBIDITY,DIN_mg_L
BM,2016,7,Jul 2016,2016-07-24,50.22380952380952,143.85714285714286,0.007899999999999999,0.0113,244.85,0.0016666666666666666,159.25,0.1635,0.01385,16.75,8.34,1.63,0.0192
BM,2016,8,Aug 2016,NA,NA,NA,0.009000000000000001,0.03175,261.45,0.0024000000000000002,169.95,0.2685,0.0232,14.75,8.315000000000001,6.54,0.04075
BM,2016,9,Sep 2016,2016-09-02,51.023809523809526,285.76190476190476,0.01685,0.03125,290.4,0.0017000000000000001,188.8,0.21000000000000002,0.02185,12.1,8.27,5.390000000000001,0.048100000000000004
BM,2017,7,Jul 2017,2017-07-04,5.071428571428571,13.504761904761905,0.010675,0.010766666666666666,249.05,0.004266666666666667,161.8,0.15366666666666667,0.015933333333333334,17.5,8.085,2.2649999999999997,0.021441666666666664
BM,2017,8,Aug 2017,2017-08-05,6.585714285714285,24.99047619047619,0.012550000000000002,0.031799999999999995,273,0.0039,177.45,0.196,0.0156,16.5,8.185,1.785,0.04435
BM,2017,9,Sep 2017,2017-09-01,47.01904761904762,175.83809523809524,0.0091,0.0281,303.2,0.0040999999999999995,197,0.2285,0.01695,12.149999999999999,8.09,3.085,0.0372
BM,2018,7,Jul 2018,NA,NA,NA,0.0414,0.0143,252.9,0.0087,164.4,0.18,0.024399999999999998,17.7,8.17,3.2,0.0557
BM,2018,8,Aug 2018,2018-08-05,11.463157894736842,42.51052631578948,0.0205,0.028650000000000002,285.65,0.00485,185.6,0.1805,0.01745,15.8,8.335,2.31,0.04915
BM,2018,9,Sep 2018,2018-09-10,23.266666666666666,148.36190476190475,0.020466666666666668,0.038233333333333334,310.6,0.002266666666666667,201.85,0.22133333333333333,0.014466666666666666,14.15,8.239999999999998,1.8900000000000001,0.0587
BM,2019,7,Jul 2019,NA,NA,NA,0.02,0.019666666666666666,272,0.029666666666666668,177.13,0.1366666666666667,0.03333333333333333,16.3,8.485,4.385,0.03966666666666667
BM,2019,8,Aug 2019,2019-08-03,15.06725,44.315,0.03,0.0445,299.05,0.0135,194.35,0.16999999999999998,0.013999999999999999,18.549999999999997,8.684999999999999,2.9000000000000004,0.0745
BM,2019,9,Sep 2019,2019-09-03,58.55,253.4,0.015,0.0335,323.65,0.0165,211.10000000000002,0.19,0.046,13.600000000000001,8.274999999999999,9.695,0.0485
BM,2020,7,Jul 2020,NA,NA,NA,NA,0.009,253.29999999999998,0.005,NA,0.13,0.016,18.55,8.254999999999999,4.1899999999999995,NA
BM,2020,8,Aug 2020,2020-08-04,17.420952380952382,55.135714285714286,NA,0.025,285.35,0.004,NA,0.15500000000000003,0.020499999999999997,17.25,8.265,2.5949999999999998,NA
BM,2020,9,Sep 2020,2020-09-02,24.883333333333333,116.38571428571429,0.02,0.025,298.35,0.006,NA,0.15666666666666668,0.011333333333333332,14.05,8.04,3.38,0.045
BM,2021,7,Jul 2021,2021-07-14,16.38095238095238,57.333333333333336,0.02,0.02,262.35,0.001,NA,0.13,0.015,17.6,8.440000000000001,2.045,0.04
BM,2021,8,Aug 2021,2021-08-02,14.047619047619047,59.19047619047619,0.02,0.015,298.70000000000005,NA,NA,0.16,0.006999999999999999,16.4,8.335,4.49,0.035
BM,2021,9,Sep 2021,NA,NA,NA,0.02,0.035333333333333335,323.35,0.002,NA,0.16333333333333333,0.013666666666666667,11.95,8.315,3.4749999999999996,0.05533333333333333
BM,2021,10,Oct 2021,NA,NA,NA,0.01,0.022,NA,0.001,NA,0.15,0.015,NA,NA,NA,0.032
BM,2022,7,Jul 2022,2022-07-20,15.285714285714286,41.683414285714285,NA,0.01,237.6,0.004,NA,0.14,0.019,17.4,7.99,6.14,NA
BM,2022,7,Jul 2022,2022-07-30,18.142857142857142,66.0385,NA,0.01,237.6,0.004,NA,0.14,0.019,17.4,7.99,6.14,NA
BM,2022,8,Aug 2022,NA,NA,NA,0.02,0.033,266.7,0.018500000000000003,NA,0.22,0.03166666666666667,20.4,8.3533333333333335,3.4066666666666667,0.053000000000000005
BM,2022,9,Sep 2022,2022-09-02,21.047619047619047,116.16406190476191,NA,0.033,313.25,0.0015,NA,0.185,0.0145,15.05,8.295,3.0549999999999997,NA
BM,2023,7,Jul 2023,2023-07-17,17.728,46.322857142857146,NA,0.025,277.1666666666667,0.004,NA,0.1825,0.01375,18.166666666666668,8.446666666666667,NA,NA
BM,2023,7,Jul 2023,2023-07-31,8.468571428571428,30.43285714285714,NA,0.025,277.1666666666667,0.004,NA,0.1825,0.01375,18.166666666666668,8.446666666666667,NA,NA
BM,2023,8,Aug 2023,NA,NA,NA,NA,0.03,307,0.002,NA,0.14,0.011,16.5,8.33,NA,NA
BM,2023,9,Sep 2023,2023-09-01,21.763809523809524,111.30809523809523,0.05,0.015,320,NA,NA,0.16,0.009000000000000001,15.6,8.77,NA,0.065
BM,2025,7,Jul 2025,2025-07-03,59.10852713178291,142.71632336655597,0.02,0.044,267.65,0.002,NA,0.18,0.019,NA,8.379999999999999,NA,0.064
BM,2025,7,Jul 2025,2025-07-28,10.426356589147291,32.2584826873385,0.02,0.044,267.65,0.002,NA,0.18,0.019,NA,8.379999999999999,NA,0.064
BM,2025,8,Aug 2025,2025-08-11,25.23696264975336,97.25666666666666,NA,0.06,289.95,NA,NA,0.18,0.0155,NA,8.5,NA,NA
BM,2025,9,Sep 2025,2025-09-09,22.24806201550388,80.9551782945736,NA,0.0905,303.45,NA,NA,0.195,0.0095,NA,8.43,NA,NA
