"Site","bracket","year","median_logCHLa","p10_logCHLa","p90_logCHLa","n_members","frac_temp_extrap"
"FH","low",2093,1.49738580316486,1.47186531590689,1.52060575231246,10,0
"FH","low",2094,1.49622631622001,1.46563728515647,1.51854278581631,10,0
"FH","low",2095,1.49069838014944,1.46377735232148,1.52330282073816,10,0
"FH","low",2096,1.49682921069041,1.45879811921273,1.52484378225118,10,0
"FH","low",2097,1.4956395100159,1.4650352641892,1.5390643655431,10,0
"FH","low",2098,1.50460640247945,1.45065792316645,1.53548713159184,10,0
"GR","high",2026,2.07300527645022,2.02456603711435,2.11996451338991,11,0
"GR","high",2027,2.05577837140383,2.00128080765183,2.13074195733261,11,0
"GR","high",2028,2.05491768313534,2.01327584681567,2.12122417686652,11,0
"GR","high",2029,2.05455241795872,2.02150085408468,2.10540958295658,11,0
"GR","high",2030,2.05398029805853,2.01444164844325,2.07355923247124,11,0
"GR","high",2031,2.04357216884826,2.01412068143236,2.07357872428309,11,0
"GR","high",2032,2.03742135360186,1.99663998415779,2.07252284276652,11,0
"GR","high",2033,2.02652499127636,1.9902040812989,2.05768998686402,11,0
"GR","high",2034,2.02480322416838,1.98989766549282,2.05992742334545,11,0
"GR","high",2035,2.02219005726937,1.99279017965122,2.05190194308855,11,0
"GR","high",2036,1.99780629312458,1.97764873674864,2.05695638122355,11,0
"GR","high",2037,1.98291594048666,1.95967867449232,2.04631686894274,11,0
"GR","high",2038,1.98364189017763,1.95618415602823,2.06902491092028,11,0
"GR","high",2039,1.98096965071552,1.95009316074621,2.06377128005255,11,0
"GR","high",2040,1.96683107730292,1.92859995009788,2.07116771664372,11,0
"GR","high",2041,1.97131885870802,1.92324881948205,2.06773895764843,11,0
"GR","high",2042,1.95749294685523,1.90228033360777,2.06323718762743,11,0
"GR","high",2043,1.95219143843233,1.90439175313632,2.077486382314,11,0
"GR","high",2044,1.94244746018783,1.89913872045892,2.04926822068241,11,0
